GB_Date,Return_Rfree
2021/12/30,0.7413
2021/12/29,0.7277
2021/12/28,0.7106
2021/12/27,0.6354
2021/12/24,0.6354
2021/12/23,0.6354
2021/12/22,0.6354
2021/12/21,0.6357
2021/12/20,0.6357
2021/12/17,0.5852
2021/12/16,0.5388
2021/12/15,0.5388
2021/12/14,0.57
2021/12/13,0.57
2021/12/10,0.5798
2021/12/9,0.5671
2021/12/8,0.56
2021/12/7,0.56
2021/12/6,0.542
2021/12/3,0.5529
2021/12/2,0.5529
2021/12/1,0.5529
2021/11/30,0.5529
2021/11/29,0.5647
2021/11/26,0.5672
2021/11/25,0.5805
2021/11/24,0.5786
2021/11/23,0.5827
2021/11/22,0.5748
2021/11/19,0.5788
2021/11/18,0.5788
2021/11/17,0.5774
2021/11/16,0.5736
2021/11/15,0.5535
2021/11/12,0.5535
2021/11/11,0.5666
2021/11/10,0.5394
2021/11/9,0.5666
2021/11/8,0.535
2021/11/5,0.5434
2021/11/4,0.5673
2021/11/3,0.5587
2021/11/2,0.5762
2021/11/1,0.5762
2021/10/29,0.5762
2021/10/28,0.5756
2021/10/27,0.5584
2021/10/26,0.5676
2021/10/25,0.5676
2021/10/22,0.5676
2021/10/21,0.5273
2021/10/20,0.5008
2021/10/19,0.4992
2021/10/18,0.5021
2021/10/15,0.4851
2021/10/14,0.4816
2021/10/13,0.4757
2021/10/12,0.4778
2021/10/8,0.4865
2021/10/7,0.468
2021/10/6,0.4666
2021/10/5,0.45
2021/10/4,0.45
2021/10/1,0.45
2021/9/30,0.45
2021/9/29,0.45
2021/9/28,0.4533
2021/9/27,0.445
2021/9/24,0.41
2021/9/23,0.41
2021/9/22,0.4128
2021/9/17,0.41
2021/9/16,0.41
2021/9/15,0.4132
2021/9/14,0.4195
2021/9/13,0.4195
2021/9/10,0.4172
2021/9/9,0.4172
2021/9/8,0.4223
2021/9/7,0.4234
2021/9/6,0.4199
2021/9/3,0.4199
2021/9/2,0.4199
2021/9/1,0.4199
2021/8/31,0.4199
2021/8/30,0.4199
2021/8/27,0.4199
2021/8/26,0.4199
2021/8/25,0.4226
2021/8/24,0.424
2021/8/23,0.4248
2021/8/20,0.413
2021/8/19,0.413
2021/8/18,0.4124
2021/8/17,0.4064
2021/8/16,0.402
2021/8/13,0.402
2021/8/12,0.4028
2021/8/11,0.4028
2021/8/10,0.4012
2021/8/9,0.404
2021/8/6,0.3981
2021/8/5,0.395
2021/8/4,0.3863
2021/8/3,0.3903
2021/8/2,0.3982
2021/7/30,0.4039
2021/7/29,0.3981
2021/7/28,0.3981
2021/7/27,0.3981
2021/7/26,0.3936
2021/7/23,0.3895
2021/7/22,0.395
2021/7/21,0.3913
2021/7/20,0.391
2021/7/19,0.3908
2021/7/16,0.4
2021/7/15,0.3972
2021/7/14,0.4035
2021/7/13,0.4015
2021/7/12,0.4012
2021/7/9,0.399
2021/7/8,0.3937
2021/7/7,0.394
2021/7/6,0.4082
2021/7/5,0.4082
2021/7/2,0.4277
2021/7/1,0.4277
2021/6/30,0.4245
2021/6/29,0.4283
2021/6/28,0.4315
2021/6/25,0.4315
2021/6/24,0.4292
2021/6/23,0.4255
2021/6/22,0.4346
2021/6/21,0.4247
2021/6/18,0.4348
2021/6/17,0.4454
2021/6/16,0.4315
2021/6/15,0.4311
2021/6/11,0.4215
2021/6/10,0.4232
2021/6/9,0.45
2021/6/8,0.45
2021/6/7,0.45
2021/6/4,0.45
2021/6/3,0.4497
2021/6/2,0.4549
2021/6/1,0.4549
2021/5/31,0.4395
2021/5/28,0.4395
2021/5/27,0.4395
2021/5/26,0.4395
2021/5/25,0.4395
2021/5/24,0.4405
2021/5/21,0.4355
2021/5/20,0.438
2021/5/19,0.4305
2021/5/18,0.4145
2021/5/17,0.4145
2021/5/14,0.4145
2021/5/13,0.4145
2021/5/12,0.4015
2021/5/11,0.4015
2021/5/10,0.4
2021/5/7,0.4
2021/5/6,0.3987
2021/5/5,0.3995
2021/5/4,0.4002
2021/5/3,0.405
2021/4/29,0.405
2021/4/28,0.405
2021/4/27,0.3898
2021/4/26,0.3898
2021/4/23,0.3898
2021/4/22,0.3898
2021/4/21,0.374
2021/4/20,0.374
2021/4/19,0.374
2021/4/16,0.374
2021/4/15,0.3793
2021/4/14,0.3845
2021/4/13,0.393
2021/4/12,0.4
2021/4/9,0.4092
2021/4/8,0.4249
2021/4/7,0.4244
2021/4/6,0.4394
2021/4/1,0.4597
2021/3/31,0.449
2021/3/30,0.4378
2021/3/29,0.4119
2021/3/26,0.4054
2021/3/25,0.3902
2021/3/24,0.3875
2021/3/23,0.426
2021/3/22,0.426
2021/3/19,0.426
2021/3/18,0.426
2021/3/17,0.426
2021/3/16,0.4799
2021/3/15,0.4388
2021/3/12,0.4388
2021/3/11,0.4388
2021/3/10,0.4388
2021/3/9,0.4388
2021/3/8,0.4388
2021/3/5,0.4388
2021/3/4,0.4388
2021/3/3,0.4388
2021/3/2,0.4388
