Stock_Date,Close_1303
2021/12/30,85.4
2021/12/29,86
2021/12/28,86
2021/12/27,85.9
2021/12/24,85.9
2021/12/23,85.4
2021/12/22,84.8
2021/12/21,84.4
2021/12/20,83.8
2021/12/17,84.3
2021/12/16,82.7
2021/12/15,83.8
2021/12/14,83
2021/12/13,83.3
2021/12/10,84.4
2021/12/09,84.8
2021/12/08,84.6
2021/12/07,84.7
2021/12/06,84.2
2021/12/03,83.6
2021/12/02,83.8
2021/12/01,83.5
2021/11/30,82.5
2021/11/29,82.7
2021/11/26,84
2021/11/25,86.3
2021/11/24,86.4
2021/11/23,85.6
2021/11/22,85.5
2021/11/19,85
2021/11/18,86
2021/11/17,85.6
2021/11/16,85.9
2021/11/15,85.9
2021/11/12,86
2021/11/11,85.3
2021/11/10,85.2
2021/11/09,85.8
2021/11/08,85.7
2021/11/05,84.9
2021/11/04,85.1
2021/11/03,84.7
2021/11/02,85
2021/11/01,84.9
2021/10/29,85.1
2021/10/28,86
2021/10/27,87.9
2021/10/26,88.8
2021/10/25,88.2
2021/10/22,88.4
2021/10/21,89.3
2021/10/20,89.1
2021/10/19,88.9
2021/10/18,88.5
2021/10/15,89.2
2021/10/14,88.2
2021/10/13,88.9
2021/10/12,88.6
2021/10/08,91.3
2021/10/07,90.7
2021/10/06,90
2021/10/05,88.9
2021/10/04,87.2
2021/10/01,88.2
2021/09/30,91.5
2021/09/29,90.8
2021/09/28,92.8
2021/09/27,92.1
2021/09/24,91.3
2021/09/23,88.9
2021/09/22,87.3
2021/09/17,89.9
2021/09/16,90.5
2021/09/15,88.9
2021/09/14,88.6
2021/09/13,88.5
2021/09/10,87.9
2021/09/09,87
2021/09/08,87.4
2021/09/07,87.7
2021/09/06,87.5
2021/09/03,88
2021/09/02,87.5
2021/09/01,88.5
2021/08/31,89.6
2021/08/30,87.6
2021/08/27,86.3
2021/08/26,84.6
2021/08/25,85.2
2021/08/24,84.9
2021/08/23,83.6
2021/08/20,81.9
2021/08/19,84
2021/08/18,86.9
2021/08/17,86.1
2021/08/16,85.9
2021/08/13,86.4
2021/08/12,87.8
2021/08/11,87.8
2021/08/10,87
2021/08/09,88.3
2021/08/06,88.4
2021/08/05,87.8
2021/08/04,88.3
2021/08/03,88.4
2021/08/02,88.8
2021/07/30,87
2021/07/29,86.3
2021/07/28,85.3
2021/07/27,83.6
2021/07/26,83.7944
2021/07/23,85.5442
2021/07/22,85.3498
2021/07/21,83.2112
2021/07/20,83.6
2021/07/19,85.447
2021/07/16,86.5163
2021/07/15,85.447
2021/07/14,84.7665
2021/07/13,84.4749
2021/07/12,83.6
2021/07/09,83.8916
2021/07/08,83.114
2021/07/07,84.1833
2021/07/06,83.5028
2021/07/05,84.086
2021/07/02,82.1419
2021/07/01,81.5586
2021/06/30,80.8781
2021/06/29,80.9753
2021/06/28,80.9753
2021/06/25,80.6837
2021/06/24,80.6837
2021/06/23,80.4893
2021/06/22,79.6144
2021/06/21,79.1284
2021/06/18,80.0033
2021/06/17,82.5307
2021/06/16,82.6279
2021/06/15,82.4335
2021/06/11,82.7251
2021/06/10,83.4056
2021/06/09,82.4335
2021/06/08,82.6279
2021/06/07,83.2112
2021/06/04,83.6
2021/06/03,84.4749
2021/06/02,84.1833
2021/06/01,82.6279
2021/05/31,82.0446
2021/05/28,81.1698
2021/05/27,79.8088
2021/05/26,80.9753
2021/05/25,81.9474
2021/05/24,79.42
2021/05/21,80.1005
2021/05/20,79.2256
2021/05/19,79.5172
2021/05/18,79.0312
2021/05/17,75.726
2021/05/14,78.1563
2021/05/13,76.7953
2021/05/12,78.5451
2021/05/11,83.5028
2021/05/10,86.5163
2021/05/07,86.1274
2021/05/06,87.0995
2021/05/05,85.5442
2021/05/04,84.4749
2021/05/03,85.447
2021/04/29,85.7386
2021/04/28,87.0995
2021/04/27,89.2381
2021/04/26,87.4884
2021/04/23,87.4884
2021/04/22,87.6828
2021/04/21,87.6828
2021/04/20,88.5577
2021/04/19,88.5577
2021/04/16,87.3912
2021/04/15,86.5163
2021/04/14,84.086
2021/04/13,84.3777
2021/04/12,83.114
2021/04/09,80.0033
2021/04/08,77.8646
2021/04/07,77.8646
2021/04/06,77.7674
2021/04/01,77.3786
2021/03/31,77.573
2021/03/30,76.7953
2021/03/29,76.6981
2021/03/26,75.1428
2021/03/25,74.3651
2021/03/24,74.0735
2021/03/23,73.7819
2021/03/22,74.2679
2021/03/19,72.4209
2021/03/18,74.4623
2021/03/17,74.2679
2021/03/16,75.1428
2021/03/15,74.6567
2021/03/12,75.0456
2021/03/11,74.5595
2021/03/10,72.5181
2021/03/09,71.546
2021/03/08,71.4488
2021/03/05,70.8656
2021/03/04,71.3516
2021/03/03,72.7126
2021/03/02,71.7405
2021/02/26,70.6712
2021/02/25,72.907
2021/02/24,71.7405
2021/02/23,71.7405
2021/02/22,69.6019
2021/02/19,68.2409
2021/02/18,68.727
2021/02/17,68.0465
2021/02/05,66.5884
2021/02/04,66.9772
2021/02/03,66.88
2021/02/02,66.88
2021/02/01,64.8386
2021/01/29,63.7693
2021/01/28,65.8107
2021/01/27,67.1716
2021/01/26,67.5605
2021/01/25,68.3381
2021/01/22,67.2688
2021/01/21,67.366
2021/01/20,67.366
2021/01/19,69.6991
2021/01/18,69.5046
2021/01/15,70.2823
2021/01/14,72.1293
2021/01/13,71.9349
2021/01/12,71.546
2021/01/11,72.3237
