BrentF_Date,Price
2021/12/31,77.86
2021/12/30,79.02
2021/12/29,79.25
2021/12/28,78.76
2021/12/27,78.53
2021/12/24,76.52
2021/12/23,76.61
2021/12/22,75.56
2021/12/21,74.03
2021/12/20,71.98
2021/12/17,72.96
2021/12/16,74.62
2021/12/15,74.44
2021/12/14,73.21
2021/12/13,74.26
2021/12/10,75.35
2021/12/09,74.03
2021/12/08,76.03
2021/12/07,75.16
2021/12/06,73.69
2021/12/03,70
2021/12/02,70.59
2021/12/01,68.97
2021/11/30,70.09
2021/11/29,73.07
2021/11/26,72.91
2021/11/25,82.25
2021/11/24,82.17
2021/11/23,82.32
2021/11/22,79.48
2021/11/19,78.51
2021/11/18,81.1
2021/11/17,80.14
2021/11/16,82.38
2021/11/15,82.12
2021/11/12,82
2021/11/11,82.54
2021/11/10,82.58
2021/11/09,85.11
2021/11/08,83.62
2021/11/05,82.35
2021/11/04,80.94
2021/11/03,81.29
2021/11/02,84.08
2021/11/01,84.53
2021/10/29,83.68
2021/10/28,83.91
2021/10/27,83.52
2021/10/26,85.41
2021/10/25,85.15
2021/10/22,85.72
2021/10/21,84.77
2021/10/20,85.89
2021/10/19,85.13
2021/10/18,84.16
2021/10/15,84.84
2021/10/14,84.11
2021/10/13,83.36
2021/10/12,83.32
2021/10/11,83.64
2021/10/08,82.54
2021/10/07,82.47
2021/10/06,80.87
2021/10/05,82.61
2021/10/04,81.28
2021/10/01,79.13
2021/09/30,78.35
2021/09/29,77.94
2021/09/28,77.41
2021/09/27,78.62
2021/09/24,78.05
2021/09/23,77.27
2021/09/22,75.85
2021/09/21,74.66
2021/09/20,74.22
2021/09/17,75.31
2021/09/16,75.62
2021/09/15,75.5
2021/09/14,73.92
2021/09/13,73.65
2021/09/10,72.88
2021/09/09,71.35
2021/09/08,72.68
2021/09/07,71.58
2021/09/06,72.09
2021/09/03,72.46
2021/09/02,72.85
2021/09/01,71.28
2021/08/31,71.66
2021/08/30,72.1
2021/08/27,71.63
2021/08/26,70.59
2021/08/25,70.98
2021/08/24,70.45
2021/08/23,68.29
2021/08/20,64.97
2021/08/19,66.54
2021/08/18,67.53
2021/08/17,69.13
2021/08/16,69.56
2021/08/13,70.24
2021/08/12,71.17
2021/08/11,71.62
2021/08/10,70.86
2021/08/09,69.28
2021/08/06,70.3
2021/08/05,71.2
2021/08/04,70.31
2021/08/03,72.26
2021/08/02,73.24
2021/07/30,75.14
2021/07/29,74.88
2021/07/28,73.88
2021/07/27,73.78
2021/07/26,73.94
2021/07/23,74.2
2021/07/22,73.65
2021/07/21,72.16
2021/07/20,68.56
2021/07/19,68.79
2021/07/16,73.14
2021/07/15,73.3
2021/07/14,74.58
2021/07/13,76.32
2021/07/12,75.19
2021/07/09,75.59
2021/07/08,74.38
2021/07/07,73.4
2021/07/06,74.84
2021/07/05,77.16
2021/07/02,76.06
2021/07/01,75.63
2021/06/30,74.66
2021/06/29,74.65
2021/06/28,74.02
2021/06/25,76.12
2021/06/24,75.53
2021/06/23,75.41
2021/06/22,74.66
2021/06/21,74.85
2021/06/18,73.19
2021/06/17,73.06
2021/06/16,73.88
2021/06/15,74.25
2021/06/14,73.11
2021/06/11,72.59
2021/06/10,72.31
2021/06/09,72.06
2021/06/08,72.04
2021/06/07,71.47
2021/06/04,71.63
2021/06/03,71.36
2021/06/02,71.29
2021/06/01,70.64
2021/05/31,69.31
2021/05/28,69.01
2021/05/27,69.2
2021/05/26,68.67
2021/05/25,68.43
2021/05/24,68.36
2021/05/21,66.68
2021/05/20,64.95
2021/05/19,66.66
2021/05/18,68.47
2021/05/17,69.59
2021/05/14,68.83
2021/05/13,66.98
2021/05/12,68.96
2021/05/11,68.64
2021/05/10,68.25
2021/05/07,68.23
2021/05/06,68.25
2021/05/05,68.66
2021/05/04,69.28
2021/05/03,67.57
2021/04/30,66.66
2021/04/29,68
2021/04/28,66.54
2021/04/27,66.03
2021/04/26,65.17
2021/04/23,65.99
2021/04/22,65.66
2021/04/21,65.03
2021/04/20,66.25
2021/04/19,67.13
2021/04/16,66.71
2021/04/15,66.84
2021/04/14,66.26
2021/04/13,63.97
2021/04/12,63.16
2021/04/09,63.01
2021/04/08,63.27
2021/04/07,63.05
2021/04/06,62.64
2021/04/05,62.26
2021/04/01,64.67
2021/03/31,62.98
2021/03/30,64.03
2021/03/29,65.08
2021/03/26,64.43
2021/03/25,62.48
2021/03/24,64.22
2021/03/23,60.37
2021/03/22,64.28
2021/03/19,64.55
2021/03/18,62.85
2021/03/17,67.85
2021/03/16,68.55
2021/03/15,68.77
2021/03/12,69.18
2021/03/11,69.5
2021/03/10,68.48
2021/03/09,66.91
2021/03/08,68.78
2021/03/05,69.54
2021/03/04,67.38
2021/03/03,64.64
2021/03/02,62.95
2021/03/01,63
2021/02/26,64.43
2021/02/25,65.43
2021/02/24,66.13
2021/02/23,64.14
2021/02/22,65.38
2021/02/19,62.72
2021/02/18,62.99
2021/02/17,65.11
2021/02/16,63.44
2021/02/15,63.64
2021/02/12,62.66
2021/02/11,60.73
2021/02/10,61.16
2021/02/09,61.08
2021/02/08,61.01
2021/02/05,59.56
2021/02/04,59.17
2021/02/03,58.74
2021/02/02,57.73
2021/02/01,56.89
2021/01/29,55.02
2021/01/28,55.17
2021/01/27,55.17
2021/01/26,55.8
2021/01/25,55.3
2021/01/22,55.09
2021/01/21,55.6
2021/01/20,55.88
2021/01/19,56.26
2021/01/18,55.02
2021/01/15,54.84
2021/01/14,56.23
2021/01/13,55.89
2021/01/12,57.37
2021/01/11,55.56
2021/01/08,56.25
2021/01/07,54.52
2021/01/06,54.67
2021/01/05,53.91
2021/01/04,50.99
2020/12/31,51.72
2020/12/30,51.59
2020/12/29,51.39
2020/12/28,51.12
